"","control1","control2","control3","control4","case1","case2","case3"
"1007_s_at",8.9694934654305,8.91784332454708,8.93160411385309,8.64747311692994,9.08935696082633,8.95226352460181,8.92873348342959
"1053_at",8.88663696335216,8.84785045736501,8.70512592965352,8.70561409029124,8.63161494987172,8.66633930017678,8.5945911131763
"117_at",6.69655896049788,6.66570229749375,6.80141750393508,6.81010245394905,6.92991737166946,6.87659905422664,6.6888419009986
"121_at",8.75511558538264,8.65880175096533,8.59168488208611,8.86974661324498,8.92460905739358,8.84928322437997,8.73799028294692
"1255_g_at",4.03383485961352,4.0268365164222,4.07944917707081,3.9589324973917,4.15427856849101,4.09798376513774,4.11139892430567
"1294_at",6.58135614218491,6.77391290248359,6.61835392638787,6.90229845965119,7.06488388064927,7.17596156413622,7.00926010037549
"1316_at",5.86307584453273,5.7560603298775,5.67659303521116,5.70211685422015,5.98439885194585,5.76745397190155,5.68948814988308
"1320_at",5.52497106091859,5.36799345176834,5.23724507404595,5.3555817580373,5.4520190457993,5.34281422986064,5.25764935474186
"1405_i_at",4.02174559380341,4.03481416398952,4.02733380039647,3.97732642965008,4.5400930570489,3.82790333657448,4.00894265700308
"1431_at",3.86065994703613,3.86006546369635,3.78630955354151,3.86065994703613,3.89004448620017,3.95966469902928,3.90710403680468
"1438_at",6.82996644159963,6.89448471842491,6.91953859429458,7.00182351971152,7.26870945775305,7.03028180381538,6.81091061175826
"1487_at",8.20507093162728,8.19042004405427,8.57651074829072,8.54404651892145,8.41505640042133,8.34338506421636,8.50913582739977
"1494_f_at",7.02340233871428,6.98631442078483,6.82606102472771,6.78643726575627,7.30529237935174,7.03116772006088,6.94951104637791
"1598_g_at",9.09421347931658,9.04368436602156,9.0966547694527,9.07892516497338,9.2816156723922,9.19445805303731,9.02574864442891
"160020_at",7.93886220876789,8.02331704513936,7.94812092704856,8.08280660986336,8.19805854885942,8.19464379540037,7.8189807489872
"1729_at",7.59172169553307,7.38938847744336,7.57851840122537,7.53890847024649,7.64776164436623,7.52832978825875,7.53890847024649
"177_at",6.48653280650885,6.33070149059584,6.19113937148975,6.28617777701285,6.37083336227134,6.18964048799037,6.1729830081719
"1773_at",6.63078199414569,6.2197623843168,6.18701426910327,6.37831909870582,6.29321744464205,6.58801441861426,6.07372266009356
"179_at",10.0138960659075,9.88204870637472,9.8524906606084,9.807586582763,10.1009421775244,9.89251286499139,9.80720579306638
"1861_at",7.60408033404318,7.42356441149695,7.51310186638712,7.57030097732429,7.58749033658698,7.65871840081476,7.80334882064065
"200000_s_at",10.6490889223911,10.2697003870603,10.4855936564862,10.7935700279209,10.2747267539782,10.8037778570949,10.4855936564862
"200001_at",11.2095723148044,10.9257246089942,11.1895506641783,11.121703361158,11.4485444706215,11.2683765425865,11.2260732856852
"200002_at",13.0043173044049,12.9036414261082,12.9769700630054,12.7534048481482,12.9348350917722,12.9855926813315,13.114079481443
"200003_s_at",12.2613067939489,12.4190690040773,12.3058007152426,12.4336063232772,12.4336063232772,12.5656481894713,12.5277270707666
"200004_at",11.7135429504406,11.8622975365273,11.7203530072667,11.5604565634897,11.5256578649217,11.6837051287351,11.7964457568827
"200005_at",10.5006070865243,10.4816546262305,10.8714499118609,10.7481552731845,10.5374779752622,10.8607002587998,10.936461137574
"200006_at",11.8062999170253,12.3169986511559,12.1603369740855,12.0777031973259,12.1603369740855,12.1603369740855,12.2354574353849
"200007_at",11.5139137142641,11.592220785304,11.6009542674659,11.3402074239464,11.6076087277759,11.5875281094272,11.5857943783554
"200008_s_at",10.5438739748818,10.4053724162505,10.3270664586799,10.197250520606,10.1210494893869,10.4735043481801,9.69149117229472
"200009_at",11.1746175149144,11.4039904738471,11.1077582797147,11.2978442290551,10.9411346891784,11.1198980053005,10.9085098623187
"200010_at",12.452324373217,12.6454130493327,12.5711203885024,12.6497944985597,12.5981028620168,12.9288477504741,12.8195421857033
"200011_s_at",9.63103909739937,9.60737272472189,9.61174487197028,9.41720771097846,9.27921799305251,9.41810652789244,9.77545106855426
"200012_x_at",12.5502998551932,12.6482328686174,12.6525716578608,12.4624946485588,12.6394751033657,12.6482328686174,12.7739739767473
"200013_at",12.4925816277361,12.5974325517031,12.458979444609,12.5974325517031,12.548868497778,12.7959750864203,12.8303216720308
"200014_s_at",10.3426995114861,10.6212401342265,10.6371202053414,10.7168910996324,10.5521147060685,10.6212401342265,10.6948029598656
"200015_s_at",10.3782887410877,10.4084602356371,10.480032643123,10.2367998834139,10.1726218619833,10.4084602356371,10.480032643123
"200016_x_at",12.1804130936403,12.4365223269453,12.3421576418258,12.4372814988259,12.2243135424837,12.2666259562463,12.2658098217763
"200017_at",12.0207225072926,12.2924365216796,12.2884432194766,12.0998152830333,12.2209770692021,12.2621435376136,12.4398996705966
"200018_at",12.727078851692,12.677152080983,12.7890754813681,12.7248932509727,12.7742646821009,12.7876489128776,12.873580548895
"200019_s_at",12.4532384990071,12.5125274534853,12.4218633095896,12.5558293706199,12.6621029946752,12.6135783406669,12.6038471667439
"200020_at",10.5194622980041,10.7258118054892,10.8079430353827,10.9376572198244,9.46834682118864,9.6812519105981,10.0746109912237
"200021_at",13.2859545697746,13.1001308617591,13.2019717917559,13.1603906871339,13.2318963429157,13.1128457954105,13.2036080564181
"200022_at",12.4489610544539,12.5071059234885,12.5584638849567,12.6060011586204,12.6060011586204,12.8634453359776,13.0310409801026
"200023_s_at",11.1409215451891,11.2251604510523,11.4074534794172,11.4607558826844,11.2397429319736,11.6295199360816,11.4908136514349
"200024_at",12.5050424661626,12.6721450943111,12.8256505101388,12.6600082359486,12.7795335405113,12.8536543330096,12.7967055359847
"200025_s_at",12.7487388177363,13.0151626460499,12.9268427932994,12.8152293034797,12.8132183548775,12.9652864319652,13.0644048586477
"200026_at",12.1429695857785,12.2370886300736,12.3652526977515,12.2333616236795,12.191528440009,12.2419637905785,12.3755292781985
"200027_at",10.5689254751887,10.8811272427211,10.971864864818,10.7427549238554,10.7444567214219,10.7302712431451,10.7444567214219
"200028_s_at",10.1099036667912,10.4529193272263,10.8093525386085,10.8431713327749,10.0815845952531,10.2792226228727,10.4554241762277
"200029_at",12.6980640274942,12.8463258341951,12.8825218875347,12.92750651639,12.9006574473121,12.964905441732,13.037367416518
"200030_s_at",12.3376846427318,12.2341153221508,12.3376846427318,12.3409701586397,12.4006759335686,12.3178899050502,12.3849627200462
"200031_s_at",12.648663558198,12.7121756956421,12.5130995929233,12.7121756956421,12.8179582453997,12.7471840308501,12.7125443200697
"200032_s_at",12.516374026289,12.7674148915832,12.691738879149,12.6075575393368,12.5848135617952,12.8177915947005,12.8581639745901
"200033_at",10.7522045915032,11.2186203608211,11.3488048472136,10.8329687286302,10.4154476284476,10.7958446337929,10.9441258141279
"200034_s_at",11.9408918198278,12.2087778416271,12.2596902634441,12.0050109580849,12.1287474508984,12.1790735783967,12.2699242173985
"200035_at",9.85642348872497,9.13942728926113,9.54061538508593,9.86060481054038,9.58469303384952,9.622124357222,10.0703145322582
"200036_s_at",11.3892843174171,11.886038743854,12.0341141196547,11.886038743854,11.8194228091297,11.9946217718188,11.8948792905465
"200037_s_at",9.91899893540331,10.4116563261227,10.1424410799697,9.91899893540331,9.45937125531112,9.74127861315145,9.79030439251207
"200038_s_at",12.3320147977943,12.5626416199915,12.5773293056142,12.5626416199915,12.4581744402646,12.6575935212179,12.6224819422674
"200039_s_at",11.3822272685381,11.5889973368664,11.3391925622912,11.1834989658447,11.1866449444476,11.2651617208922,11.195478258997
"200040_at",10.3574986739059,10.7205753609174,10.4263041711743,10.3596836676107,9.9690985939804,9.90656004967058,9.86621355762687
"200041_s_at",10.8261459216332,10.5498479826573,10.7626976802143,10.867000618493,10.3914108543011,10.657371227744,10.9958035367573
"200042_at",9.93799597981014,9.93799597981014,10.1821060780659,10.3705561942756,9.58588485672364,9.93799597981014,9.93799597981014
"200043_at",11.3415253991639,11.4154898185916,11.6758474604406,11.408121255929,10.9340586802094,11.3995527682929,11.4499128410617
"200044_at",10.4030464855916,10.5860553240228,10.6488045999648,10.6351475012111,10.2905719348119,10.6009183630489,10.4873350966168
"200045_at",10.0310761003001,9.76971047436516,9.76971047436516,10.0587695740381,9.52921785702556,9.55653110667606,9.76360613353505
"200046_at",10.0761163774583,10.2869472202334,10.3064150932424,10.2673808332829,10.3064150932424,10.3064150932424,10.3421959593338
"200047_s_at",9.28514869040861,10.028342314294,9.67411952740717,9.41720771097846,8.99921099246239,9.0862696852285,9.28514869040861
"200048_s_at",11.1694920304835,11.1978757890566,11.2042594483309,11.1957634534859,11.1978757890566,11.1586937607075,11.2589262496903
