"","control1","control2","control3","control4","case1","case2","case3"
"203440_at",10.0757962092592,10.4775718848903,10.7440961038007,10.6143176766219,9.72199347247203,10.3661114831708,10.2649424533989
"207079_s_at",8.01968360414531,7.58182332425087,7.8171766492515,7.75540734589817,6.33544898884835,7.37517005342936,7.11859016039807
"209027_s_at",7.76673521827609,7.8407238995911,7.40314658793651,7.14460072634489,5.97571903992401,6.52945227501162,6.45225149549281
"202382_s_at",8.14925391838381,7.91526472673385,8.31525342364989,8.24882501704349,8.45343595288171,8.6370042123331,8.96254770900506
"209451_at",4.87775193254038,5.6559354731602,4.87775193254038,4.53069754418318,4.70716999426592,4.88573093009905,5.29054201440863
"209772_s_at",10.5074601308944,10.6443179486169,9.65975652995866,8.78534074482583,10.2584386545743,9.95100583155633,8.91212088301825
"217746_s_at",10.1855480438269,10.5364157367589,10.5727506940847,10.3376500440849,9.83896051795099,10.0399360770973,9.68538969223828
"222380_s_at",5.80375333596108,5.80277187993909,6.17338576150982,6.43733280036824,6.49548951832261,7.07781279162212,8.07847919416169
"215247_at",6.26957449585164,6.34267540545044,6.18626403890399,5.88052811822593,6.73284559007229,6.30188463076905,6.6413314600025
"203975_s_at",8.29157232170887,7.76358380472452,8.20258599322513,8.3385686850168,7.14888879244512,7.75199444908368,7.76198478033999
"204485_s_at",7.17380558376079,7.64276684661512,7.47452934377396,7.07548647063941,6.6474749692373,6.80549845188076,6.82611470838966
"205088_at",7.10442729707481,7.40936194566764,7.15686630533538,7.34527985327974,6.96972094089141,6.8304106315384,6.58700831320759
"202583_s_at",8.0769082705967,7.73424958603004,7.17848521467463,7.52479873715613,6.25124471476627,6.26022594754785,6.6438446136876
"215009_s_at",5.78802914492569,6.37954152157012,6.30009598736874,6.11968710488829,6.37954152157012,6.80214010516056,7.71534582489687
"214857_at",5.59359251919139,5.76360199030312,5.99269593626301,6.03649693213342,6.29438393431631,6.18548882599099,6.66524004238984
"215185_at",7.55465027060535,7.21245887953295,7.32739305585138,7.36488534654796,5.86090694912568,6.11845007272731,5.79232315150028
"201664_at",9.52509460337484,9.95953844672687,9.84645284316361,9.600109301794,8.41074702808791,8.93064252650909,8.79360841167459
"201177_s_at",8.82834032801997,9.431877199486,9.37586499219304,9.16959972473542,8.10177199973394,8.67516488666969,8.50107676828389
"203192_at",8.45661248802674,8.3184141431384,8.72303860232469,9.26650847145889,8.66490970091513,8.90363295946914,9.38441910376128
"207623_at",5.48210345634604,5.1753314717319,5.51093680888411,5.44849047009617,6.38857648599971,6.43561791476027,6.59538351259896
"201771_at",9.91114832171335,9.51898201121482,9.86246861135742,10.1472821746909,10.404436131783,10.2847736043511,10.5381006049647
"212062_at",9.28917589812834,8.86270842142534,8.40365482907906,9.05060710111445,8.28062570673473,8.01891264146548,7.87610168321348
"207769_s_at",8.32031270548799,8.29734129431957,8.47199125209257,8.83885003318143,7.92427002142638,8.70675774861853,8.52785187433335
"207379_at",8.38366361798334,7.75790161757316,7.33929483434227,7.49855407326978,7.24799665393519,8.63681633896913,6.77509159511719
"219625_s_at",7.23410131825081,6.8799013706903,6.8030450298732,6.71276932043255,5.80463982468531,6.25872199299386,6.17673371319187
"205139_s_at",6.26209159013524,6.08335213941679,5.78802914492569,6.0661483816088,5.4448241993097,5.23990492027852,5.28021956295538
"208736_at",9.23713573710451,9.74865370203834,9.11570467048531,8.92750426864715,9.52195661257973,9.73817198626613,9.74374299906851
"213102_at",9.65963455605801,10.2103208083397,10.1218531537493,9.5120079080923,8.6215475290433,9.23558922190953,8.780497825354
"200727_s_at",9.31390677261,8.94447728160779,8.19399524893615,8.21179133094073,8.66201090813489,8.96674338331477,7.39132993163056
"209114_at",6.91862587819887,7.29910231786191,7.43634617613329,7.45602657179627,7.80126828355662,7.69682897142287,7.31076406478106
"201489_at",9.67347632853891,9.60268707969762,10.0178306164468,10.194643686609,10.7090050777922,11.0890737903017,11.24442866006
"208393_s_at",7.95914263083002,8.43680701096861,8.05253752112773,8.14320268008481,7.1372992442964,7.28970342164687,7.25542482702598
"218755_at",9.56953450706003,9.38353783308168,9.44733936310263,9.16657732159055,8.74826978020019,8.96150478855146,8.88465848212957
"210148_at",5.50486338149663,5.42816347245313,5.0452546305079,5.10711408959454,4.76580993961034,5.03151528018722,4.67678872011112
"212367_at",6.5615106440125,6.72318916483566,6.81140444191965,6.71395032447509,7.42252552869183,7.627857468603,8.25509251406014
"202207_at",6.14760946190197,5.71521265573138,5.63893937452744,5.69685981994792,7.06286063632535,6.57780409645739,6.39682091150566
"205590_at",4.89152863791194,6.28614802259744,5.60985757692476,4.3552331929412,4.83092686150033,4.67343345329653,4.83132897645623
"204008_at",6.51611616939926,6.63149601810298,6.80133360090661,6.67798003125511,7.39324779899413,7.42408359568423,7.27395070383837
"211615_s_at",8.71144601742706,8.8444714712449,8.97437559212848,9.0253217706422,8.12485986041839,8.51047137619349,8.45142338450914
"204072_s_at",4.89574030323066,4.36925503331378,4.09901663016654,3.80719734819553,3.68713106217141,3.60535418829036,3.73029053330868
"202073_at",6.98076746324965,7.17627517421054,6.38647090155375,5.93822274692289,7.0449199973465,6.38617741291128,6.68739974725229
"217739_s_at",6.36238018941869,6.67519207286221,6.63977416378138,6.64728759095885,5.58638950786468,6.39934656933185,6.15796663864185
"212168_at",8.1241443665318,8.47377943559888,8.48644577135314,8.270502585878,8.35595254550445,8.87752336111111,9.170769371464
"210962_s_at",6.32086561249285,6.58232240480863,6.27865064199984,6.29408748221378,4.83605152572597,4.62684201368596,4.93950364071193
"202973_x_at",7.14533188316276,7.40074643811385,7.14533188316276,7.38086290015198,6.58512754496648,6.169934296684,6.40039316424909
"201503_at",9.49054227268866,10.1602849973608,10.0504752883387,9.94590221188248,8.61237383222542,9.24161655490873,9.02032683726781
"212000_at",5.78787614159524,5.3213825845137,6.26836731195828,6.170569159854,5.74150120628663,5.88341492053109,5.9305888437094
"206002_at",7.32138389331049,7.70081838920245,6.66167803952476,6.63731659134669,7.44040708748582,6.70900153931886,7.13136424761655
"203640_at",8.06639825108318,8.68903263796113,8.45651646340934,8.27912297850598,5.61779483793166,6.17033994760434,6.03145379108497
"200990_at",10.5034910596438,9.97015059970281,10.5261951593609,10.6583231443153,10.7014748606553,10.8457480474615,11.1916197970739
"201444_s_at",9.53327733837586,9.86565827576092,9.13912117950417,9.10231379618753,9.91381202092383,9.68006442943465,9.67033266013581
"203775_at",7.90569148138498,8.20423184301653,7.7300399082863,7.99383648782688,6.85193313418817,7.05458197279512,7.07622509856915
"211804_s_at",9.15031859304595,9.04547125352612,8.86384939213339,9.07080227306041,8.91253033254746,8.97734555900014,8.0829974969201
"218544_s_at",8.57914254139998,8.57914254139998,8.93704188342173,9.06987571733191,7.99280481650288,8.20671899857809,8.43928336258027
"201967_at",6.86216952722743,6.86216952722743,7.17899985042019,7.39946738540106,6.41445167150922,6.64317643792863,6.96711947095261
"218656_s_at",6.28041910182042,6.86164230884354,6.11250773999814,6.05770139722803,5.58437878093391,5.57678207578315,5.81929588278002
"219880_at",6.39486652143342,6.58141267529693,6.69560441573436,6.59209875764212,7.68169414275361,7.53230230829423,7.80404489832739
"206205_at",5.60500550913982,5.78763157963542,5.64651349987053,5.88620299587464,5.0849302610216,4.85270725045842,4.81204472421132
