"","control1","control2","control3","control4","case1","case2","case3"
"ABI1",7.76673521827609,7.8407238995911,7.40314658793651,7.14460072634489,5.97571903992401,6.52945227501162,6.45225149549281
"PDCD6",5.80375333596108,5.80277187993909,6.17338576150982,6.43733280036824,6.49548951832261,7.07781279162212,8.07847919416169
"RANBP9",8.0769082705967,7.73424958603004,7.17848521467463,7.52479873715613,6.25124471476627,6.26022594754785,6.6438446136876
"LINC00963",7.55465027060535,7.21245887953295,7.32739305585138,7.36488534654796,5.86090694912568,6.11845007272731,5.79232315150028
"SMC4",9.52509460337484,9.95953844672687,9.84645284316361,9.600109301794,8.41074702808791,8.93064252650909,8.79360841167459
"ABCF2",5.48210345634604,5.1753314717319,5.51093680888411,5.44849047009617,6.38857648599971,6.43561791476027,6.59538351259896
"PPIF",9.67347632853891,9.60268707969762,10.0178306164468,10.194643686609,10.7090050777922,11.0890737903017,11.24442866006
"FEM1B",6.5615106440125,6.72318916483566,6.81140444191965,6.71395032447509,7.42252552869183,7.627857468603,8.25509251406014
"AKAP9",6.32086561249285,6.58232240480863,6.27865064199984,6.29408748221378,4.83605152572597,4.62684201368596,4.93950364071193
"MBNL2",8.06639825108318,8.68903263796113,8.45651646340934,8.27912297850598,5.61779483793166,6.17033994760434,6.03145379108497
"CTC-338M12.4",6.39486652143342,6.58141267529693,6.69560441573436,6.59209875764212,7.68169414275361,7.53230230829423,7.80404489832739
"TRIM13",6.96038123535827,6.66567774993831,6.77422934964824,6.53263948761135,7.71946372863368,7.55743707128133,8.11809604819307
"TRIB1",7.60566997248176,7.52830701000398,7.24564414744158,7.43729824038518,8.63462858557961,8.77704885362671,8.79391374044406
"CDK8",5.66417371177779,6.26584220756908,6.0899706391495,6.03539459559707,4.65821637154703,4.90071001827816,5.12830746799861
"GPHN",7.26898857643632,7.1559616127888,6.65036784210293,6.94244850317041,5.85472038361462,5.59416860761433,5.48063338461613
"POP7",9.32728332984547,9.52926147134315,9.48845868723652,9.66458933426756,10.5363181877578,10.5364161285363,10.5992700344332
"SPRY2",5.69063584945118,5.42942101411086,5.32311782824222,5.39808619951433,6.62572198277597,6.95440954006312,7.42185866957117
"STAG1",7.43809254443609,7.81526925289779,7.47601394519686,7.76614087194593,5.87708828203716,6.19171957865918,6.17505161524257
"SAP18",6.5823765639219,6.33865215069508,6.41493251889577,6.71710643590829,7.42767997083354,7.71214423898619,7.91837821199161
"MARCH6",8.63528948894611,9.67655234291829,9.28631774839536,8.78587478402911,7.23411328632994,8.45351717728967,7.30765652784251
"CITED2",7.59817004933408,7.31108547628548,6.96438748403126,6.4613594520952,8.13346953568692,8.3651171713243,8.72161703511031
"NDC80",7.589728914719,8.001577495714,7.93977296259454,7.93172492759054,5.53132081826256,6.05655893386182,6.0201817922182
"CD2BP2",7.72638909673895,7.74508412335791,8.20629425693087,7.78707649309542,9.12924695541896,9.0148882211893,9.52703151443769
"TUBGCP3",7.03613633433444,7.73621976141667,7.6012535859433,7.44012838381037,5.17352742755245,5.46999250238446,5.89166292079247
"SEC24B",7.5134277067568,7.98141275846509,7.82818900256188,7.37168014612065,6.039587311269,6.75535153894896,7.04812117812441
"EMG1",10.0882533933281,10.0666118015128,10.4064268086504,10.5310011371459,8.949717240918,9.38812817795319,9.31008056117064
