"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","200008_s_at","GDI2","2665","GDP dissociation inhibitor 2",0.273042505983964,10.2513726257543,1.30208727749518,0.209604034769257,0.250281906746041,-6.17675200929446
"2","200020_at","TARDBP","23435","TAR DNA binding protein",1.00631534867163,10.3164405831015,4.96661518956194,0.000105185503586496,0.000543633744369539,1.03148941748326
"3","200028_s_at","STARD7","56910","StAR related lipid transfer domain containing 7",0.281759584899067,10.4330826085364,1.31613352731771,0.204947319082822,0.245098972802095,-6.15919150321352
"4","200035_at","CTDNEP1","23399","CTD nuclear envelope phosphatase 1",-0.159776231040144,9.66774327099173,-0.728418271189171,0.475900636491113,0.520736723274151,-6.75108524795533
"5","200037_s_at","CBX3","11335","chromobox 3",0.434372398899871,9.91186421969624,2.19125148720593,0.0420905041760953,0.0595450061359815,-4.80075202727786
"6","200050_at","ZNF146","7705","zinc finger protein 146",-0.297753285779752,8.58553724566408,-1.38205382573109,0.184177294692062,0.222388661806944,-6.07473242176893
"7","200072_s_at","HNRNPM","4670","heterogeneous nuclear ribonucleoprotein M",0.42707095961635,10.5768849429601,2.19406758895765,0.0418561978200256,0.0592946868158517,-4.79567369885993
"8","200073_s_at","HNRNPD","3184","heterogeneous nuclear ribonucleoprotein D",0.795947910276672,9.90090035013917,3.6927075954097,0.00170930457899236,0.00433405846235103,-1.74160895858089
"9","200083_at","USP22","23326","ubiquitin specific peptidase 22",0.441638348283419,9.63636770705405,2.13943681656475,0.0466220981583497,0.0651196640010506,-4.89352043097451
"10","200091_s_at","RPS25","6230","ribosomal protein S25",-0.387403345924243,11.0623744764518,-1.81067410649336,0.0872277472867737,0.113796064087625,-5.4496856887654
"11","200595_s_at","EIF3A","8661","eukaryotic translation initiation factor 3 subunit A",0.977318396946513,9.08718233570323,4.38661710615187,0.000370221437809998,0.00136025672825687,-0.226560317803911
"12","200602_at","APP","351","amyloid beta precursor protein",-0.267701405257579,8.35612592709456,-1.20791683480424,0.242997438980435,0.285190323010889,-6.2904260643197
"13","200604_s_at","PRKAR1A","5573","protein kinase cAMP-dependent type I regulatory subunit alpha",-0.0423325913005268,9.20113448139261,-0.169693405040157,0.867178800376451,0.881968337149024,-7.0100142041345
"14","200606_at","DSP","1832","desmoplakin",0.381971481647913,8.90010750435589,1.34195732423624,0.19659971151739,0.235843599773859,-6.12650478667275
"15","200607_s_at","RAD21","5885","RAD21 cohesin complex component",0.506312541735532,8.75747834790219,2.20086767191982,0.041295348036711,0.0586340999367402,-4.78339574015858
"16","200614_at","CLTC","1213","clathrin heavy chain",0.537339615967936,11.5638641075624,2.87032127921257,0.0103124915643704,0.018452992695391,-3.48612862658792
"17","200616_s_at","MLEC","9761","malectin",-0.584317527920184,9.23089263845082,-2.31524974959396,0.0328418765974847,0.0481525576022695,-4.57373966021373
"18","200641_s_at","YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta",0.588083016911931,11.0620878465201,2.27985579152637,0.0352688291795592,0.0511307336539566,-4.63923291371333
"19","200644_at","MARCKSL1","65108","MARCKS like 1",-1.76439983350065,9.83503048604162,-8.56734043873122,1.05179467814217e-07,4.01919696839062e-06,7.98658345319423
"20","200659_s_at","PHB","5245","prohibitin",-0.511047357045589,9.92752645204821,-2.54905300967583,0.0203322102363006,0.0321029449810429,-4.12841772386924
"21","200662_s_at","TOMM20","9804","translocase of outer mitochondrial membrane 20",0.353703837074514,10.0885660580482,1.71724249331445,0.103409259786501,0.132387278894963,-5.59638989698151
"22","200667_at","UBE2D3","7323","ubiquitin conjugating enzyme E2 D3",0.490490170623548,9.04989492309554,2.54651294450449,0.0204399014599859,0.0322401497596216,-4.13336566484733
"23","200670_at","XBP1","7494","X-box binding protein 1",-0.434449167830405,8.59750524313432,-2.02145782389293,0.0586451393903107,0.0796228446801023,-5.09980504520312
"24","200671_s_at","SPTBN1","6711","spectrin beta, non-erythrocytic 1",0.470839337045473,7.7370231807986,1.87249920178888,0.0777806725296429,0.102419475802303,-5.3496913424354
"25","200686_s_at","SRSF11","9295","serine and arginine rich splicing factor 11",0.183750047153973,9.10057143924421,0.714679340734096,0.48414248945803,0.528635866130053,-6.76117859038032
"26","200687_s_at","SF3B3","23450","splicing factor 3b subunit 3",0.737384760721778,8.75108384457778,3.73733572449227,0.00154880881551013,0.00401912647439073,-1.64460155292442
"27","200712_s_at","MAPRE1","22919","microtubule associated protein RP/EB family member 1",0.227177400488664,9.09483483449361,1.07710895137324,0.295916990222916,0.339992066202765,-6.43621775230766
"28","200722_s_at","CAPRIN1","4076","cell cycle associated protein 1",0.722742010659633,9.52151157613698,2.91549772865615,0.00935977884796662,0.0170232693299381,-3.39348842954238
"29","200727_s_at","ACTR2","10097","ARP2 actin related protein 2 homolog",0.326014584163589,8.52632212245356,0.990008588479639,0.335533196754678,0.380842343846551,-6.52516796927045
"30","200732_s_at","PTP4A1","7803","protein tyrosine phosphatase type IVA, member 1",1.53381274333936,10.409575374487,7.24288219028537,1.09322351452629e-06,2.13757527407753e-05,5.63087621665488
"31","200736_s_at","GPX1","2876","glutathione peroxidase 1",-0.502988635350262,10.9653391694231,-2.56854234544923,0.0195236187267869,0.0310634898264577,-4.09037876548907
"32","200756_x_at","CALU","813","calumenin",0.0748581008932359,9.51439194202436,0.345621349060091,0.733707680158181,0.763243044673103,-6.96269107323639
"33","200769_s_at","MAT2A","4144","methionine adenosyltransferase 2A",0.471419114510395,8.69427117672432,2.00150720326834,0.0609353375240414,0.0823357218571035,-5.13397846395505
"34","200778_s_at","SEPT2","4735","septin 2",0.128154304406662,9.97405185294971,0.562272719997427,0.580993449908471,0.620406573059976,-6.86084680840099
"35","200779_at","ATF4","468","activating transcription factor 4",-0.163239707813577,11.0750732759162,-0.724058859462016,0.47850671902767,0.523129102084287,-6.75430751248515
"36","200788_s_at","PEA15","8682","proliferation and apoptosis adaptor protein 15",-1.11819766329829,9.24828423662724,-5.59226565512912,2.80849911206866e-05,0.000195920179747002,2.35836247787445
"37","200796_s_at","MCL1","4170","MCL1, BCL2 family apoptosis regulator",-0.295207310958104,7.33998795343463,-0.762043328113693,0.456085622888869,0.500822066777048,-6.72562106890378
"38","200808_s_at","ZYX","7791","zyxin",-0.234883082397442,9.45113555935004,-0.989768638918568,0.335647251123065,0.380842343846551,-6.52540380449516
"39","200814_at","PSME1","5720","proteasome activator subunit 1",-0.407573023296791,9.60465645355233,-2.05830693191864,0.0546183006956726,0.0748106671631098,-5.03613611260773
"40","200816_s_at","PAFAH1B1","5048","platelet activating factor acetylhydrolase 1b regulatory subunit 1",1.66956989231983,7.95221705059528,7.72547496199831,4.53564280592216e-07,1.07366628558509e-05,6.51722577305652
"41","200828_s_at","ZNF207","7756","zinc finger protein 207",0.539067936079139,10.7020126278461,2.77105025806008,0.012745763966115,0.0219337480904122,-3.68783779689047
"42","200833_s_at","RAP1B","5908","RAP1B, member of RAS oncogene family",1.10144596267244,9.94102367815167,5.40853975095572,4.11983563530396e-05,0.000266714202611223,1.97283983324741
"43","200841_s_at","EPRS","2058","glutamyl-prolyl-tRNA synthetase",0.326960027865875,8.56679940172629,1.36635012644375,0.188965311374882,0.227388991297442,-6.09515562595678
"44","200848_at","AHCYL1","10768","adenosylhomocysteinase like 1",-0.282281953118371,9.07379456150921,-1.29152067341158,0.213161710967368,0.254222708842515,-6.18985998835624
"45","200854_at","NCOR1","9611","nuclear receptor corepressor 1",1.62739114001156,7.43282386631146,8.56192344811052,1.06142553848843e-07,4.01919696839062e-06,7.97743501294808
"46","200860_s_at","CNOT1","23019","CCR4-NOT transcription complex subunit 1",0.977904278158151,9.89996355230848,5.18849707862089,6.55270207567078e-05,0.00037421600619991,1.50643071228163
"47","200862_at","DHCR24","1718","24-dehydrocholesterol reductase",0.629150546879309,10.0571408678994,3.20619223706582,0.00498400166695863,0.0102285831695822,-2.78661534403777
"48","200864_s_at","RAB11A","8766","RAB11A, member RAS oncogene family",0.699996401420998,6.94278879904868,3.38677657400446,0.00335525224675787,0.0074265790272635,-2.40204833522034
"49","200866_s_at","PSAP","5660","prosaposin",-0.277947683787323,10.141428525285,-1.17017978763135,0.257469150427296,0.300330290767846,-6.33395626937872
